t, ur1, ur2, ur3
6.119995, -55.342770, -21.386583, 33.016407
6.139995, -55.910015, -20.943197, 30.934406
6.159995, -53.855141, -16.851589, 32.982227
6.179995, -56.342770, -15.253094, 31.489491
6.199995, -49.651112, -20.318560, 31.514679
6.219995, -47.119873, -17.789982, 30.466984
6.239995, -50.238667, -19.364521, 30.940310
6.259995, -50.757576, -17.314684, 32.466049
6.279995, -48.669388, -18.294434, 30.949430
6.299995, -45.059959, -20.822201, 30.955978
6.319995, -47.627129, -20.836515, 30.424906
6.339995, -45.106209, -19.335625, 30.906708
6.359995, -48.185677, -19.857508, 31.408440
6.379995, -43.053101, -19.326326, 30.916119
6.399995, -40.983852, -15.726951, 28.384140
6.419995, -36.907471, -15.223844, 25.327660
6.439995, -36.428154, -16.789825, 25.325951
6.459995, -35.932137, -13.735847, 23.292286
6.479995, -37.961201, -12.191648, 21.274624
6.499995, -36.915947, -14.218449, 20.277136
6.519995, -36.399879, -10.643397, 19.765373
6.539995, -33.854012, -9.631612, 20.261690
6.559995, -34.876942, -9.630480, 19.746220
6.579995, -37.416149, -9.614789, 20.777996
6.599995, -34.841454, -10.110751, 20.776089
6.619995, -34.331398, -10.624378, 19.738852
6.639995, -33.316483, -9.608065, 18.185942
6.659995, -32.302834, -10.633855, 23.791466
6.679995, -31.274548, -11.138538, 22.769516
6.699995, -29.727207, -13.675815, 22.270142
6.719995, -31.268421, -10.101208, 21.761131
6.739995, -29.748934, -11.645973, 23.798767
6.759995, -29.230911, -9.086981, 23.799168
6.779994, -29.217773, -11.626288, 21.258135
6.799994, -28.190918, -10.090377, 19.729132
6.819994, -28.717928, -10.617121, 22.269520
6.839994, -26.686666, -11.650057, 22.770559
6.859994, -28.717085, -11.123779, 19.714928
6.879994, -25.637175, -10.085917, 22.277777
6.899994, -25.644188, -10.605935, 22.271362
6.919994, -26.166004, -10.105491, 20.736473
6.939994, -23.612936, -10.619850, 21.249302
6.959994, -24.119684, -11.635387, 20.743685
6.979994, -23.604103, -11.114592, 21.772694
6.999994, -21.560658, -9.582032, 21.261995
7.019994, -24.122126, -10.099233, 20.752785
7.039994, -23.606989, -9.078747, 20.755136
7.059994, -21.048096, -10.101562, 20.754316
7.079994, -21.039906, -10.608154, 19.735300
7.099994, -21.043369, -11.626665, 20.246864
7.119994, -20.542969, -11.634478, 20.239229
7.139994, -21.055531, -9.590954, 21.768877
7.159994, -23.602240, -11.117010, 20.751209
7.179994, -20.525902, -10.602118, 21.266256
7.199994, -21.038975, -11.122914, 19.727423
7.219994, -20.536200, -10.617942, 21.254560
7.239994, -21.052755, -11.637451, 20.741999
7.259994, -21.047474, -10.606734, 20.234282
7.279994, -21.557152, -11.630638, 20.744574
7.299994, -21.044945, -11.637052, 21.761108
7.319994, -20.532627, -10.613748, 21.247059
7.339994, -21.551891, -11.629573, 20.227179
7.359994, -21.557062, -14.189443, 20.226824
7.379994, -18.501663, -13.690574, 21.239092
7.399994, -19.017822, -12.159267, 21.237072
7.419994, -19.010809, -11.638139, 19.207336
7.439994, -19.516180, -15.211814, 19.730129
7.459994, -18.498291, -10.112549, 17.173784
7.479994, -17.995117, -12.675337, 20.234058
7.499994, -18.504639, -10.113991, 18.705404
