t, x1_compfilter, x1_phiobs, x1_fullobs
4.099997, -0.767594, -0.000916, -0.023704
4.119997, -0.767476, -0.000763, -0.023845
4.139997, -0.767816, -0.000952, -0.023868
4.159997, -0.767673, -0.001495, -0.024139
4.179997, -0.767611, -0.000500, -0.023634
4.199997, -0.766707, 0.001300, -0.022753
4.219997, -0.765492, 0.004438, -0.020574
4.239997, -0.764110, 0.007827, -0.018082
4.259997, -0.760426, 0.014480, -0.013084
4.279997, -0.752421, 0.028758, -0.002991
4.299997, -0.742974, 0.047561, 0.011485
4.319997, -0.733726, 0.060705, 0.024998
4.339997, -0.725483, 0.067283, 0.035611
4.359997, -0.713798, 0.075290, 0.046970
4.379997, -0.697343, 0.094588, 0.064634
4.399997, -0.678509, 0.117950, 0.086960
4.419997, -0.659112, 0.136293, 0.108557
4.439997, -0.638671, 0.149946, 0.128306
4.459997, -0.616677, 0.162514, 0.147900
4.479997, -0.592539, 0.176693, 0.168146
4.499997, -0.566413, 0.192244, 0.189455
4.519997, -0.539004, 0.206815, 0.210668
4.539997, -0.510184, 0.219865, 0.231266
4.559997, -0.480741, 0.230636, 0.250791
4.579997, -0.451890, 0.236504, 0.266910
4.599997, -0.424341, 0.235899, 0.278365
4.619997, -0.398761, 0.229881, 0.284939
4.639997, -0.375337, 0.218750, 0.286276
4.659997, -0.353696, 0.204973, 0.282676
4.679996, -0.333919, 0.189298, 0.276386
4.699996, -0.315154, 0.175718, 0.268591
4.719996, -0.297038, 0.165742, 0.260652
4.739996, -0.279079, 0.158512, 0.253224
4.759996, -0.261172, 0.153528, 0.246828
4.779996, -0.242967, 0.151459, 0.241729
4.799996, -0.224621, 0.150618, 0.237724
4.819996, -0.206721, 0.149021, 0.233817
4.839996, -0.189669, 0.145607, 0.229441
4.859996, -0.173755, 0.140083, 0.223814
4.879996, -0.159238, 0.132170, 0.216471
4.899996, -0.146355, 0.121926, 0.207145
4.919996, -0.134503, 0.111254, 0.196661
4.939996, -0.122967, 0.102592, 0.186471
4.959996, -0.111295, 0.098026, 0.178182
4.979996, -0.099893, 0.095060, 0.171068
4.999996, -0.088860, 0.092119, 0.164205
5.019996, -0.077494, 0.090743, 0.158910
5.039996, -0.065914, 0.090884, 0.154796
5.059996, -0.054841, 0.090601, 0.151201
5.079996, -0.044606, 0.088723, 0.147506
5.099996, -0.034967, 0.084414, 0.142616
5.119996, -0.027227, 0.076754, 0.135623
5.139996, -0.020964, 0.066601, 0.126306
5.159996, -0.016415, 0.054592, 0.115277
5.179996, -0.013081, 0.043299, 0.103090
5.199996, -0.010721, 0.032839, 0.090900
5.219996, -0.009313, 0.022925, 0.078939
5.239996, -0.008459, 0.014728, 0.066987
5.259996, -0.008113, 0.008183, 0.055928
5.279996, -0.007762, 0.003495, 0.046126
5.299996, -0.007662, 0.000572, 0.037770
5.319996, -0.007341, -0.001316, 0.030638
5.339996, -0.006870, -0.002684, 0.024494
5.359996, -0.005726, -0.002631, 0.020040
5.379996, -0.003947, 0.000539, 0.018051
5.399996, -0.001481, 0.006324, 0.018373
5.419996, 0.001573, 0.012245, 0.020355
5.439996, 0.005014, 0.016429, 0.022460
5.459996, 0.007994, 0.018115, 0.023599
5.479996, 0.010645, 0.017790, 0.024086
5.499996, 0.013180, 0.017137, 0.024006
5.519996, 0.015437, 0.016140, 0.023617
5.539996, 0.017539, 0.014390, 0.022882
5.559996, 0.018911, 0.012223, 0.021149
5.579996, 0.020164, 0.009520, 0.019376
5.599996, 0.020764, 0.006654, 0.016909
5.619996, 0.020917, 0.003209, 0.013838
5.639996, 0.021135, -0.000053, 0.010546
5.659996, 0.021065, -0.002473, 0.007482
5.679996, 0.021116, -0.003846, 0.004925
5.699996, 0.021202, -0.004257, 0.002996
