t, x2_estimate, x2_phiobs, x2_fullobs
3.659997, 0.003351, -0.001847, 0.037520
3.679997, 0.008633, 0.017062, 0.023864
3.699997, 0.023902, 0.047122, 0.024651
3.719997, 0.036752, 0.055950, 0.048922
3.739997, 0.041013, 0.055999, 0.046269
3.759997, 0.041701, 0.056699, 0.043321
3.779997, 0.038284, 0.050153, 0.040225
3.799997, 0.033268, 0.038693, 0.035160
3.819997, 0.024390, 0.024476, 0.034400
3.839997, 0.019930, 0.017935, 0.021120
3.859997, 0.019264, 0.020771, 0.019661
3.879997, 0.022082, 0.030830, 0.011293
3.899997, 0.026299, 0.027695, 0.027913
3.919997, 0.028829, 0.023744, 0.027222
3.939997, 0.034333, 0.035582, 0.020064
3.959997, 0.038927, 0.038038, 0.030759
3.979997, 0.034000, 0.024617, 0.036667
3.999997, 0.023858, 0.008275, 0.032523
4.019997, 0.015535, 0.002202, 0.021223
4.039997, 0.006902, -0.003188, 0.024558
4.059997, 0.000000, -0.008561, 0.012963
4.079997, -0.004084, -0.009851, 0.015003
4.099997, -0.004350, -0.010245, 0.012719
4.119997, -0.005016, -0.009289, 0.017146
4.139997, -0.003218, -0.013405, 0.019293
4.159997, 0.000666, -0.008168, 0.017731
4.179997, 0.008078, 0.004397, 0.013684
4.199997, 0.009210, 0.003986, 0.028376
4.219997, 0.004084, -0.004671, 0.022081
4.239997, -0.002663, -0.009735, 0.020472
4.259997, -0.010098, -0.015132, 0.016287
4.279997, -0.015824, -0.020605, 0.015307
4.299997, -0.014426, -0.015139, 0.003240
4.319997, -0.003351, 0.002412, 0.001254
4.339997, 0.009077, 0.018684, 0.005676
4.359997, 0.017111, 0.019936, 0.018517
4.379997, 0.015091, 0.010237, 0.021284
4.399997, 0.005948, -0.002253, 0.017782
4.419997, -0.007390, -0.019830, 0.017822
4.439997, -0.019042, -0.029189, 0.004088
4.459997, -0.018709, -0.022603, -0.003750
4.479997, -0.010298, -0.008588, 0.000570
4.499997, -0.000289, -0.000828, 0.010250
4.519997, 0.008877, 0.005104, 0.012538
4.539997, 0.013516, 0.009295, 0.017176
4.559997, 0.008655, 0.005486, 0.019351
4.579997, -0.002841, -0.008728, 0.016194
4.599997, -0.018953, -0.031388, 0.017412
4.619997, -0.028984, -0.042521, 0.002838
4.639997, -0.028385, -0.041420, 0.006160
4.659997, -0.019219, -0.032864, 0.005696
4.679996, -0.013050, -0.029996, 0.026533
4.699996, -0.011230, -0.031527, 0.026240
4.719996, -0.013272, -0.030557, 0.034990
4.739996, -0.017666, -0.022050, 0.024091
4.759996, -0.014381, -0.007737, 0.018501
4.779996, -0.004039, 0.005446, 0.024068
4.799996, 0.008034, 0.006795, 0.039529
4.819996, 0.018043, 0.012055, 0.038787
4.839996, 0.024590, 0.024319, 0.036736
4.859996, 0.018887, 0.016537, 0.050767
4.879996, 0.004172, -0.003428, 0.046319
4.899996, -0.005304, -0.006930, 0.026499
4.919996, -0.004039, -0.006424, 0.027690
4.939996, 0.005704, 0.002018, 0.021606
4.959996, 0.013072, 0.007632, 0.036375
4.979996, 0.008078, -0.004804, 0.041801
4.999996, -0.006880, -0.016571, 0.031166
5.019996, -0.014337, -0.015724, 0.016115
5.039996, -0.013937, -0.013716, 0.020255
5.059996, -0.001997, -0.004951, 0.016473
5.079996, 0.008655, 0.000421, 0.032418
5.099996, 0.008544, 0.000818, 0.028700
5.119996, -0.003440, -0.009445, 0.033334
5.139996, -0.017511, -0.022013, 0.019354
5.159996, -0.019863, -0.023130, 0.010209
5.179996, -0.012384, -0.023747, 0.021568
5.199996, -0.002730, -0.025282, 0.034441
5.219996, -0.003706, -0.026031, 0.043112
5.239996, -0.012029, -0.024165, 0.036999
5.259996, -0.017111, -0.021808, 0.034819
5.279996, -0.014204, -0.013430, 0.030005
5.299996, 0.003040, 0.005259, 0.030509
5.319996, 0.024213, 0.024551, 0.042289
5.339996, 0.034666, 0.044156, 0.040463
5.359996, 0.028274, 0.040434, 0.055315
5.379996, 0.011718, 0.018368, 0.043741
5.399996, 0.002286, 0.000372, 0.030136
5.419996, 0.001909, -0.013270, 0.030192
5.439996, 0.003618, -0.016038, 0.025535
5.459996, -0.000155, -0.014175, 0.030596
5.479996, -0.010386, -0.015666, 0.024845
5.499996, -0.014315, -0.009118, 0.009145
5.519996, -0.004239, -0.000924, 0.010966
5.539996, 0.009255, 0.004193, 0.021677
5.559996, 0.011962, -0.001530, 0.038638
5.579996, 0.000155, -0.012836, 0.035486
5.599996, -0.015491, -0.024582, 0.029160
5.619996, -0.023858, -0.031730, 0.021039
5.639996, -0.013893, -0.023521, 0.011821
5.659996, 0.000777, -0.010105, 0.027273
5.679996, 0.004416, -0.007007, 0.037569
5.699996, -0.002242, -0.003781, 0.032151
5.719995, -0.008145, -0.002229, 0.029177
5.739995, -0.005571, -0.006340, 0.029159
5.759995, 0.003817, -0.004473, 0.030882
5.779995, 0.008278, -0.005293, 0.039247
5.799995, -0.003862, -0.014621, 0.038212
5.819995, -0.020973, -0.023430, 0.018616
5.839995, -0.029739, -0.031680, 0.015127
5.859995, -0.019131, -0.016364, -0.011505
5.879995, -0.000067, 0.002806, 0.010775
5.899995, 0.005371, 0.003630, 0.018316
5.919995, -0.005082, -0.007210, 0.023304
5.939995, -0.018531, -0.020222, 0.011321
5.959995, -0.020551, -0.029016, 0.013088
5.979995, -0.014559, -0.032897, 0.017421
5.999995, -0.003640, -0.018719, 0.012986
6.019995, 0.000244, -0.004592, 0.025024
6.039995, -0.011230, -0.013644, 0.032158
6.059995, -0.019774, -0.018497, 0.012401
6.079995, -0.011430, -0.012024, 0.009478
6.099995, 0.000222, -0.011746, 0.031857
6.119995, 0.005571, -0.004276, 0.021819
6.139995, 0.003129, 0.002503, 0.031076
6.159995, -0.006325, -0.006354, 0.033293
6.179995, -0.012073, -0.020690, 0.034478
6.199995, -0.005238, -0.020958, 0.027677
6.219995, 0.004150, -0.015184, 0.041194
6.239995, 0.000022, -0.008631, 0.036840
6.259995, -0.010231, -0.010743, 0.036083
6.279995, -0.018598, -0.020053, 0.031779
6.299995, -0.011718, -0.022914, 0.028996
6.319995, -0.001265, -0.020419, 0.041755
6.339995, 0.000888, -0.013800, 0.040642
6.359995, -0.003995, -0.003592, 0.036104
6.379995, -0.009454, -0.007737, 0.045066
6.399995, -0.003507, -0.006592, 0.035352
6.419995, 0.011541, 0.000768, 0.048982
