t, phi, uk, ur, tm
3.140000, 0.065089, 0.163042, 34.704742, 0.417549
3.160000, 0.068570, 0.175679, 43.915379, 0.454205
3.180000, 0.071337, 0.186514, 48.525211, 0.479180
3.200000, 0.075103, 0.200889, 53.649570, 0.511051
3.220000, 0.080491, 0.226108, 62.872787, 0.562161
3.240000, 0.086542, 0.265734, 69.044434, 0.618180
3.260000, 0.092784, 0.307246, 78.283951, 0.681113
3.280000, 0.099740, 0.343463, 84.963173, 0.740135
3.300000, 0.106369, 0.393968, 89.612671, 0.801506
3.320000, 0.115475, 0.478322, 98.383980, 0.897313
3.340000, 0.127076, 0.548954, 91.811607, 0.971093
3.360000, 0.139440, 0.637119, 109.273796, 1.097313
3.380000, 0.152210, 0.770653, 115.539345, 1.229150
3.400000, 0.112056, -1.088130, 111.636559, 0.120894
3.420000, 0.091445, -0.985344, 110.717308, 0.082899
3.440000, 0.075187, -0.959841, 119.429825, 0.040980
3.460000, 0.052913, -0.877813, 122.066849, -0.008517
3.480000, 0.037427, -0.779714, 124.719940, -0.020994
3.500000, 0.023326, -0.680277, 124.308388, -0.032050
3.520000, 0.012676, -0.563864, 122.891838, -0.021575
3.540000, 0.001368, -0.503656, 120.908043, -0.042997
3.560000, -0.009676, -0.408855, 115.381813, -0.051934
3.580000, -0.017190, -0.360444, 114.408249, -0.061381
3.600000, -0.023627, -0.321374, 117.002312, -0.064914
3.620000, -0.030034, -0.304187, 114.975494, -0.087043
3.640000, -0.036945, -0.319927, 114.448769, -0.125282
3.660000, -0.043087, -0.305180, 117.529495, -0.138916
3.680000, -0.050315, -0.339899, 114.939781, -0.191475
3.700000, -0.057363, -0.357792, 114.921890, -0.230519
3.720000, -0.065971, -0.385331, 114.894348, -0.281061
3.740000, -0.074402, -0.433840, 114.845840, -0.341380
3.760000, -0.083503, -0.440597, 115.350067, -0.382725
3.780000, -0.093817, -0.482743, 114.796936, -0.448738
3.800000, -0.103342, -0.473941, 114.805740, -0.484938
3.820000, -0.110848, -0.387095, 114.381599, -0.474191
3.840000, -0.115658, -0.246587, 111.967117, -0.428431
3.860000, -0.116296, -0.068683, 112.145020, -0.341801
3.880000, -0.115070, 0.044718, 112.258415, -0.279616
3.900000, -0.111279, 0.164972, 113.911629, -0.200470
3.920000, -0.105269, 0.297840, 112.511543, -0.110686
3.940000, -0.097979, 0.374248, 109.521912, -0.046374
3.960000, -0.089161, 0.463065, 112.165718, 0.040136
3.980000, -0.079222, 0.501239, 109.648903, 0.097400
4.000000, -0.068531, 0.520196, 111.200874, 0.155093
4.020000, -0.057219, 0.571780, 110.741478, 0.228386
4.040000, -0.045727, 0.574763, 107.678421, 0.273737
4.060000, -0.034825, 0.572906, 110.231613, 0.323593
4.080000, -0.024334, 0.539007, 110.197716, 0.351308
4.100000, -0.015060, 0.470446, 107.063110, 0.351268
4.120000, -0.005361, 0.453685, 109.601349, 0.388510
4.140000, 0.003118, 0.426360, 110.085068, 0.411808
4.160000, 0.011189, 0.406110, 107.509766, 0.431761
4.180000, 0.019369, 0.428665, 107.021332, 0.477114
4.200000, 0.027524, 0.420738, 104.458412, 0.503615
4.220000, 0.036771, 0.450375, 107.043045, 0.562232
4.240000, 0.045916, 0.497725, 107.090393, 0.625015
4.260000, 0.056390, 0.529059, 104.055748, 0.680267
4.280000, 0.068359, 0.612229, 107.715881, 0.779096
4.300000, 0.081856, 0.691388, 105.240051, 0.872119
4.320000, 0.097172, 0.759251, 107.862907, 0.975819
4.340000, 0.113892, 0.856899, 107.449570, 1.095306
4.360000, 0.132172, 0.931090, 105.479752, 1.207091
4.380000, 0.152591, 1.029620, 108.133278, 1.347955
4.400000, 0.094959, -1.619240, -1.314601, -0.407781
4.420000, 0.065819, -1.408364, -0.592738, -0.425284
4.440000, 0.043167, -1.141236, -11.056567, -0.405763
4.460000, 0.025911, -0.867501, -16.403805, -0.351321
4.480000, 0.011223, -0.616720, -26.372993, -0.305191
4.500000, 0.002651, -0.372197, -30.727470, -0.226668
4.520000, 0.000881, -0.144939, -39.187222, -0.134679
4.540000, 0.000734, 0.071657, -47.146652, -0.040268
4.560000, 0.006956, 0.259789, -55.134544, 0.067010
4.580000, 0.014886, 0.352149, -52.487133, 0.151513
4.600000, 0.021910, 0.364449, -47.364845, 0.196239
4.620000, 0.028133, 0.346063, -41.762260, 0.222992
4.640000, 0.035789, 0.331337, -33.600964, 0.261992
4.660000, 0.042971, 0.322398, -25.433876, 0.301880
