t, uk1, uk2, uk3)
3.599997, 0.020662, 0.056682, 0.132428
3.619997, 0.040814, 0.038572, 0.123417
3.639997, 0.057392, 0.021927, 0.109857
3.659997, 0.073726, 0.006525, 0.090837
3.679997, 0.088196, -0.013072, 0.073571
3.699997, 0.099138, -0.032402, 0.059523
3.719997, 0.102644, -0.047538, 0.047294
3.739997, 0.098649, -0.056615, 0.037906
3.759997, 0.088152, -0.061054, 0.029362
3.779997, 0.071884, -0.060677, 0.020951
3.799997, 0.051955, -0.058235, 0.012917
3.819997, 0.033179, -0.056682, 0.008589
3.839997, 0.021417, -0.055417, 0.001953
3.859997, 0.017333, -0.051378, -0.009188
3.879997, 0.019353, -0.050002, -0.020640
3.899997, 0.020684, -0.053908, -0.023325
3.919997, 0.016379, -0.058324, -0.018909
3.939997, 0.009854, -0.050956, -0.023059
3.959997, 0.003684, -0.037862, -0.030982
3.979997, -0.003862, -0.027631, -0.034067
3.999997, -0.010187, -0.020862, -0.029118
4.019997, -0.013360, -0.018709, -0.021483
4.039997, -0.013715, -0.017710, -0.014470
4.059997, -0.014692, -0.015358, -0.007879
4.079997, -0.016356, -0.007745, -0.003973
4.099997, -0.019863, 0.001642, -0.002397
4.119997, -0.025744, 0.010187, 0.001221
4.139997, -0.031914, 0.020041, 0.003973
4.159997, -0.037263, 0.029073, 0.006591
4.179997, -0.039837, 0.034333, 0.007923
4.199997, -0.040503, 0.033112, 0.010808
4.219997, -0.040525, 0.030782, 0.010764
4.239997, -0.040525, 0.029273, 0.008766
4.259997, -0.040747, 0.027031, 0.006836
4.279997, -0.042012, 0.022859, 0.005615
4.299997, -0.043344, 0.018642, 0.005215
4.319997, -0.043299, 0.015402, 0.004150
4.339997, -0.043122, 0.011008, 0.005082
4.359997, -0.041391, 0.006125, 0.007790
4.379997, -0.037041, 0.003329, 0.006259
4.399997, -0.032358, 0.002552, 0.003684
4.419997, -0.026477, 0.002508, 0.001509
4.439997, -0.022371, 0.000599, 0.000932
4.459997, -0.031825, -0.018687, 0.000377
4.479997, -0.053908, -0.049092, -0.004683
4.499997, -0.073882, -0.073837, -0.024635
4.519997, -0.079652, -0.084490, -0.047427
4.539997, -0.067801, -0.088862, -0.054707
4.559997, -0.059389, -0.097051, -0.052532
4.579997, -0.073460, -0.107815, -0.052731
4.599997, -0.094632, -0.110634, -0.037973
4.619997, -0.119422, -0.116693, -0.006991
4.639997, -0.132894, -0.116715, 0.023658
4.659997, -0.126080, -0.111588, 0.050623
4.679996, -0.100181, -0.101024, 0.086044
4.699996, -0.068355, -0.082071, 0.122729
4.719996, -0.015602, -0.050756, 0.171266
4.739996, 0.050867, -0.024457, 0.199474
4.759996, 0.118601, 0.001554, 0.187445
4.779996, 0.123617, -0.007390, 0.134092
4.799996, 0.077943, -0.055106, 0.053375
4.819996, 0.126302, -0.013982, 0.032203
4.839996, 0.178368, 0.037884, 0.026898
4.859996, 0.210992, 0.088596, 0.014759
4.879996, 0.277550, 0.186979, 0.050445
4.899996, 0.337827, 0.269938, 0.056704
4.919996, 0.346371, 0.294616, 0.000777
4.939996, 0.332523, 0.271713, -0.040902
4.959996, 0.344929, 0.275375, -0.017400
4.979996, 0.383678, 0.324467, 0.009366
4.999996, 0.427421, 0.388184, 0.047494
5.019996, 0.469988, 0.429397, 0.087863
5.039996, 0.456783, 0.414771, 0.074570
5.059996, 0.419321, 0.388960, 0.071352
5.079996, 0.355027, 0.330215, 0.034200
5.099996, 0.272024, 0.253115, -0.012295
5.119996, 0.166206, 0.161212, -0.070553
5.139996, 0.056149, 0.057858, -0.131895
5.159996, -0.048226, -0.040636, -0.191950
5.179996, -0.149250, -0.133249, -0.252715
5.199996, -0.235338, -0.213411, -0.303671
5.219996, -0.293840, -0.266542, -0.331369
5.239996, -0.350899, -0.319162, -0.359421
5.259996, -0.406182, -0.370873, -0.379240
5.279996, -0.437741, -0.400434, -0.379062
5.299996, -0.460867, -0.426889, -0.366146
5.319996, -0.478777, -0.475581, -0.351032
5.339996, -0.500682, -0.522764, -0.347481
5.359996, -0.513753, -0.531885, -0.334143
5.379996, -0.505853, -0.506363, -0.295105
5.399996, -0.503833, -0.508449, -0.273821
5.419996, -0.485413, -0.494578, -0.243461
5.439996, -0.454675, -0.461755, -0.210637
5.459996, -0.423027, -0.424026, -0.174795
5.479996, -0.375156, -0.377131, -0.135712
5.499996, -0.321249, -0.355315, -0.106062
5.519996, -0.272068, -0.350988, -0.094810
5.539996, -0.220713, -0.335297, -0.098916
5.559996, -0.146631, -0.285251, -0.072949
5.579996, -0.079497, -0.224020, -0.041169
5.599996, -0.032757, -0.152624, -0.016712
5.619996, 0.010520, -0.095165, 0.011319
5.639996, 0.051866, -0.049513, 0.042744
5.659996, 0.088707, -0.009121, 0.075613
5.679996, 0.129365, 0.037795, 0.113475
5.699996, 0.158416, 0.083580, 0.144456
5.719995, 0.176082, 0.127589, 0.166960
5.739995, 0.182274, 0.161967, 0.184693
5.759995, 0.198497, 0.195790, 0.211458
5.779995, 0.225396, 0.229634, 0.241907
5.799995, 0.248765, 0.257598, 0.260461
5.819995, 0.270847, 0.285295, 0.279259
5.839995, 0.284385, 0.305979, 0.287626
5.859995, 0.298855, 0.322336, 0.296636
5.879995, 0.312726, 0.332545, 0.300942
5.899995, 0.321249, 0.334121, 0.294084
5.919995, 0.327551, 0.335430, 0.287115
5.939995, 0.331657, 0.339336, 0.277883
5.959995, 0.321448, 0.328617, 0.257443
5.979995, 0.310507, 0.313858, 0.232764
5.999995, 0.299987, 0.302495, 0.207108
6.019995, 0.288913, 0.284363, 0.178834
6.039995, 0.268029, 0.257465, 0.147342
6.059995, 0.234384, 0.222399, 0.114340
6.079995, 0.209505, 0.199074, 0.089839
6.099995, 0.189464, 0.181386, 0.067534
6.119995, 0.167648, 0.162167, 0.048870
6.139995, 0.139840, 0.134225, 0.022105
6.159995, 0.105751, 0.101246, -0.003795
6.179995, 0.067046, 0.064938, -0.034888
6.199995, 0.022992, 0.023481, -0.067446
6.219995, -0.019530, -0.010320, -0.094788
6.239995, -0.060921, -0.044231, -0.123506
6.259995, -0.101157, -0.080939, -0.156996
6.279995, -0.129054, -0.106062, -0.180876
6.299995, -0.153045, -0.127212, -0.197587
6.319995, -0.178723, -0.151891, -0.218715
6.339995, -0.195856, -0.170578, -0.231898
6.359995, -0.207441, -0.186779, -0.238933
6.379995, -0.222621, -0.211281, -0.249941
6.399995, -0.240731, -0.231232, -0.248920
6.419995, -0.257132, -0.252405, -0.245014
6.439995, -0.271047, -0.272490, -0.230367
