t, uk1, uk2, uk3)
4.699996, -0.006192, -0.005571, -0.004283
4.719996, -0.005792, -0.005415, -0.004061
4.739996, -0.006192, -0.005127, -0.004283
4.759996, -0.006259, -0.005415, -0.004372
4.779996, -0.005526, 0.003196, -0.006125
4.799996, -0.004816, 0.005704, -0.007723
4.819996, -0.006369, -0.004084, -0.005127
4.839996, -0.006702, -0.016667, -0.002064
4.859996, -0.006747, -0.018354, -0.000954
4.879996, -0.004949, -0.012983, -0.003462
4.899996, -0.005215, -0.007279, -0.003529
4.919996, -0.006259, -0.005504, -0.004527
4.939996, -0.006702, 0.001132, -0.004749
4.959996, -0.007501, 0.010120, -0.006259
4.979996, -0.007013, 0.009410, -0.007501
4.999996, -0.007945, 0.002064, -0.004994
5.019996, -0.004594, 0.001287, -0.008766
5.039996, -0.003950, 0.002020, -0.008811
5.059996, -0.003262, 0.006902, -0.012229
5.079996, -0.002730, 0.022948, -0.017089
5.099996, -0.005393, 0.053508, -0.028341
5.119996, -0.000843, 0.127878, -0.081605
5.139996, 0.012406, 0.402165, -0.251939
5.159996, 0.036841, 0.477445, -0.163942
5.179996, -0.039726, 0.414461, -0.148429
5.199996, -0.123284, 0.362950, -0.256133
5.219996, -0.177924, 0.360708, -0.306468
5.239996, -0.222732, 0.397194, -0.348191
5.259996, -0.267119, 0.472740, -0.413950
5.279996, -0.310130, 0.578092, -0.503345
5.299996, -0.358422, 0.704993, -0.597267
5.319996, -0.402565, 0.837354, -0.690368
5.339996, -0.433125, 0.967496, -0.793323
5.359996, -0.442668, 1.070429, -0.889820
5.379996, -0.426023, 1.147440, -0.992131
5.399996, -0.380150, 1.218569, -1.111797
5.419996, -0.300209, 1.258473, -1.213066
5.439996, -0.209882, 1.284350, -1.288234
5.459996, -0.124682, 1.309407, -1.341432
5.479996, -0.048648, 1.323744, -1.374611
5.499996, 0.017843, 1.325430, -1.387882
5.519996, 0.075324, 1.313224, -1.383244
5.539996, 0.107371, 1.278935, -1.341765
5.559996, 0.119999, 1.252192, -1.300019
5.579996, 0.142082, 1.221432, -1.262912
5.599996, 0.168004, 1.168990, -1.214197
5.619996, 0.194192, 1.111132, -1.162553
5.639996, 0.210060, 1.055737, -1.104984
5.659996, 0.205732, 1.014857, -1.048790
5.679996, 0.195812, 0.974465, -0.992575
5.699996, 0.203602, 0.913788, -0.937313
5.719995, 0.221068, 0.841460, -0.887156
5.739995, 0.229501, 0.772750, -0.834935
5.759995, 0.213278, 0.706303, -0.762674
5.779995, 0.181630, 0.643562, -0.681580
5.799995, 0.150515, 0.584439, -0.606744
5.819995, 0.120976, 0.527025, -0.537456
5.839995, 0.090926, 0.463375, -0.461754
5.859995, 0.055750, 0.394220, -0.376532
5.879995, 0.017244, 0.325132, -0.291265
5.899995, -0.023547, 0.266875, -0.214410
5.919995, -0.061098, 0.215098, -0.149272
5.939995, -0.083025, 0.165940, -0.103266
5.959995, -0.090970, 0.127345, -0.082959
5.979995, -0.087153, 0.098916, -0.084734
5.999995, -0.077810, 0.082027, -0.103266
6.019995, -0.072794, 0.071840, -0.123817
6.039995, -0.084690, 0.062230, -0.124860
6.059995, -0.104575, 0.055772, -0.116737
6.079995, -0.124172, 0.052110, -0.108969
6.099995, -0.136578, 0.045829, -0.099559
6.119995, -0.147275, 0.038683, -0.085023
6.139995, -0.154621, 0.034156, -0.069510
6.159995, -0.154421, 0.030716, -0.053930
6.179995, -0.150426, 0.030227, -0.039082
6.199995, -0.139108, 0.033468, -0.030205
6.219995, -0.118956, 0.028918, -0.020862
6.239995, -0.090749, 0.017843, -0.011829
6.259995, -0.057303, 0.006325, -0.005282
6.279995, -0.026854, 0.000866, 0.001198
6.299995, -0.003640, 0.001465, 0.009698
6.319995, 0.013494, 0.004749, 0.017488
6.339995, 0.029317, 0.001132, 0.029384
6.359995, 0.041879, -0.005437, 0.038550
6.379995, 0.053175, -0.010719, 0.042878
6.399995, 0.059412, -0.017466, 0.045097
6.419995, 0.065315, -0.021372, 0.043122
6.439995, 0.075635, -0.027498, 0.039193
6.459995, 0.088241, -0.038039, 0.034555
6.479995, 0.095964, -0.044986, 0.026876
6.499995, 0.092346, -0.044875, 0.018554
6.519995, 0.079141, -0.039526, 0.010475
6.539995, 0.066291, -0.034999, 0.002907
6.559995, 0.055372, -0.038328, -0.001176
6.579995, 0.046584, -0.044697, -0.001176
6.599995, 0.035221, -0.049025, 0.002863
6.619995, 0.022349, -0.044986, 0.004993
6.639995, 0.011363, -0.035110, 0.002108
6.659995, 0.002730, -0.029939, 0.001487
6.679995, -0.005792, -0.031270, 0.007834
6.699995, -0.013605, -0.034577, 0.020396
6.719995, -0.019375, -0.029806, 0.027364
6.739995, -0.018620, -0.027431, 0.033645
6.759995, -0.013893, -0.026876, 0.040325
6.779994, -0.013005, -0.021461, 0.045985
6.799994, -0.016024, -0.010808, 0.048049
6.819994, -0.011274, -0.003795, 0.045097
6.839994, -0.047338, -0.049868, 0.043521
6.859994, -0.146343, -0.163077, 0.015225
6.879994, -0.177924, -0.211680, 0.025633
6.899994, -0.177014, -0.192083, 0.028097
6.919994, -0.133715, -0.120155, 0.029428
6.939994, -0.037573, -0.060810, 0.078298
6.959994, -0.017511, -0.041834, 0.100957
6.979994, -0.058457, -0.050756, 0.093012
6.999994, -0.109835, -0.095942, 0.125903
7.019994, -0.138264, -0.152135, 0.159659
7.039994, -0.117003, -0.173929, 0.175882
7.059994, -0.086643, -0.165895, 0.158660
7.079994, -0.006547, -0.055350, 0.191395
7.099994, 0.093345, 0.091747, 0.245991
7.119994, 0.142703, 0.143058, 0.250052
7.139994, 0.145522, 0.113763, 0.211436
7.159994, 0.154532, 0.086843, 0.182718
7.179994, 0.170977, 0.084512, 0.165207
7.199994, 0.183250, 0.068533, 0.149494
7.219994, 0.198386, 0.062918, 0.126724
7.239994, 0.263746, 0.151137, 0.159814
7.259994, 0.357690, 0.280901, 0.209039
7.279994, 0.385565, 0.310152, 0.203069
7.299994, 0.350055, 0.203890, 0.115760
7.319994, 0.299899, 0.074037, 0.006569
7.339994, 0.324910, 0.075435, -0.021061
7.359994, 0.415615, 0.193482, 0.007390
7.379994, 0.456939, 0.223842, -0.019885
7.399994, 0.340246, 0.074681, -0.178590
7.419994, 0.185492, -0.068023, -0.333322
7.439994, 0.097806, -0.105685, -0.360131
7.459994, 0.133382, 0.015691, -0.257088
7.479994, 0.243150, 0.170068, -0.113386
7.499994, 0.249342, 0.185470, -0.069998
7.519994, 0.087064, 0.017644, -0.151558
7.539994, -0.064272, -0.146210, -0.174262
7.559994, -0.053020, -0.128766, -0.061453
7.579994, 0.051844, -0.007501, 0.106661
7.599994, 0.102400, 0.049136, 0.185714
7.619994, 0.019708, -0.014625, 0.146454
7.639994, -0.050246, -0.064716, 0.098272
7.659994, -0.005171, -0.022615, 0.111300
7.679994, 0.088773, 0.047383, 0.119578
7.699994, 0.143613, 0.034844, 0.069110
7.719994, 0.143502, -0.013849, 0.000755
7.739994, 0.112853, -0.026676, -0.051777
7.759994, 0.082337, 0.013449, -0.047671
7.779994, 0.074104, 0.071818, -0.028075
7.799994, 0.056926, 0.068711, -0.037729
7.819993, 0.024790, 0.019752, -0.064449
7.839993, 0.011607, -0.003329, -0.069376
7.859993, 0.015269, 0.022326, -0.054307
7.879993, -0.000866, 0.026033, -0.056171
7.899993, -0.032447, 0.004749, -0.063118
7.919993, -0.030116, 0.003995, -0.047116
7.939993, -0.012894, 0.017710, -0.026721
7.959993, -0.012450, 0.018443, -0.021572
7.979993, -0.013649, 0.002819, -0.023725
7.999993, -0.024390, -0.011563, -0.025766
8.019994, -0.039593, -0.020795, -0.033889
8.039994, -0.040725, -0.014537, -0.037285
8.059995, -0.027653, -0.006347, -0.029695
8.079995, -0.020862, 0.003662, -0.035842
8.099996, -0.033667, -0.003418, -0.048848
8.119996, -0.048381, -0.023592, -0.059500
8.139997, -0.053841, -0.036530, -0.057459
8.159997, -0.038683, -0.020551, -0.043876
8.179997, -0.024124, 0.000089, -0.039238
8.199998, -0.039438, -0.008944, -0.046917
8.219998, -0.071551, -0.034755, -0.064050
8.239999, -0.075280, -0.040237, -0.060011
8.259999, -0.047716, -0.016623, -0.039393
8.280000, -0.034511, -0.006392, -0.036153
8.300000, -0.048803, -0.023725, -0.052576
8.320001, -0.059367, -0.039948, -0.066913
8.340001, -0.058302, -0.038861, -0.061187
8.360002, -0.056504, -0.028940, -0.053042
8.380002, -0.064738, -0.030693, -0.056016
8.400002, -0.069620, -0.042411, -0.060077
8.420003, -0.060632, -0.046051, -0.056793
8.440003, -0.049868, -0.039504, -0.051644
8.460004, -0.053131, -0.036797, -0.057525
8.480004, -0.064006, -0.043987, -0.066580
8.500005, -0.067756, -0.044897, -0.058923
8.520005, -0.060987, -0.039748, -0.038439
8.540006, -0.071152, -0.055972, -0.032602
8.560006, -0.077810, -0.067801, -0.023636
8.580007, -0.067468, -0.055306, -0.006369
8.600007, -0.057325, -0.034599, 0.002952
8.620008, -0.057436, -0.029229, -0.005127
8.640008, -0.054884, -0.035243, -0.021150
8.660008, -0.038084, -0.031293, -0.038439
8.680009, -0.018598, -0.020285, -0.041546
8.700009, -0.012828, -0.010231, -0.036797
8.720010, -0.033601, -0.024834, -0.051977
8.740010, -0.059345, -0.048692, -0.071085
8.760011, -0.052887, -0.047716, -0.056637
8.780011, -0.030893, -0.031071, -0.030671
8.800012, -0.026144, -0.025611, -0.015447
8.820012, -0.043233, -0.040636, -0.019796
8.840013, -0.061631, -0.057814, -0.030028
8.860013, -0.057703, -0.060321, -0.024235
