t, phi2, phi3
6.339995, 0.010860, -0.070870
6.359995, 0.011514, -0.069390
6.379995, 0.011684, -0.067498
6.399995, 0.011727, -0.065794
6.419995, 0.011716, -0.064248
6.439995, 0.011344, -0.062416
6.459995, 0.010638, -0.060659
6.479995, 0.009596, -0.059354
6.499995, 0.008331, -0.058364
6.519995, 0.007414, -0.057758
6.539995, 0.006667, -0.056961
6.559995, 0.006215, -0.056424
6.579995, 0.005684, -0.055634
6.599995, 0.005164, -0.054779
6.619995, 0.004771, -0.053628
6.639995, 0.004621, -0.052352
6.659995, 0.004729, -0.051081
6.679995, 0.005041, -0.049980
6.699995, 0.005381, -0.048493
6.719995, 0.005710, -0.046371
6.739995, 0.006171, -0.044122
6.759995, 0.006733, -0.042220
6.779994, 0.007200, -0.040337
6.799994, 0.007872, -0.038411
6.819994, 0.008735, -0.036378
6.839994, 0.007942, -0.032542
6.859994, 0.008484, -0.029375
6.879994, 0.008179, -0.023587
6.899994, 0.009007, -0.020471
6.919994, 0.009872, -0.015504
6.939994, 0.010326, -0.011267
6.959994, 0.010305, -0.008465
6.979994, 0.010778, -0.006208
6.999994, 0.010691, -0.000404
7.019994, 0.011271, 0.005947
7.039994, 0.012533, 0.011267
7.059994, 0.012271, 0.018423
7.079994, 0.010290, 0.026094
7.099994, 0.010675, 0.029850
7.119994, 0.011532, 0.033050
7.139994, 0.012713, 0.033943
7.159994, 0.011915, 0.036774
7.179994, 0.010657, 0.039729
7.199994, 0.009643, 0.041471
7.219994, 0.006937, 0.044490
7.239994, 0.005992, 0.043444
7.259994, 0.006332, 0.040276
7.279994, 0.005753, 0.038864
7.299994, 0.007231, 0.032318
7.319994, 0.004135, 0.031534
7.339994, 0.000984, 0.028148
7.359994, -0.001517, 0.022809
7.379994, -0.004040, 0.016856
7.399994, -0.006961, 0.009792
7.419994, -0.011867, 0.004228
7.439994, -0.014917, -0.004269
7.459994, -0.017665, -0.009904
7.479994, -0.019230, -0.015277
7.499994, -0.018530, -0.025510
7.519994, -0.020549, -0.027707
7.539994, -0.021780, -0.029232
7.559994, -0.022902, -0.028855
7.579994, -0.023464, -0.028005
7.599994, -0.023512, -0.026865
7.619994, -0.024922, -0.022274
7.639994, -0.025167, -0.018393
7.659994, -0.024921, -0.015015
7.679994, -0.024221, -0.013095
7.699994, -0.024593, -0.011551
7.719994, -0.026329, -0.011443
7.739994, -0.028999, -0.012244
