t, uk1, uk2, uk3)
5.539996, 0.107482, 0.047960, 0.234140
5.559996, 0.176770, 0.112986, 0.257642
5.579996, 0.226217, 0.173197, 0.269028
5.599996, 0.264744, 0.221023, 0.280124
5.619996, 0.315012, 0.263635, 0.295571
5.639996, 0.378152, 0.321515, 0.322780
5.659996, 0.413528, 0.348879, 0.311483
5.679996, 0.433502, 0.370340, 0.274021
5.699996, 0.427555, 0.408246, 0.250097
5.719995, 0.450791, 0.499994, 0.284008
5.739995, 0.526537, 0.623500, 0.364259
5.759995, 0.576028, 0.677607, 0.412929
5.779995, 0.551815, 0.626141, 0.377597
5.799995, 0.519191, 0.564798, 0.336162
5.819995, 0.494623, 0.516217, 0.287670
5.839995, 0.446197, 0.449615, 0.216274
5.859995, 0.375822, 0.346172, 0.132228
5.879995, 0.317720, 0.253071, 0.054130
5.899995, 0.295305, 0.207774, 0.010320
5.919995, 0.266276, 0.164519, -0.020396
5.939995, 0.218649, 0.125659, -0.045718
5.959995, 0.139241, 0.068489, -0.092080
5.979995, 0.051444, 0.004994, -0.139374
5.999995, -0.036286, -0.066780, -0.189287
6.019995, -0.125370, -0.143968, -0.245947
6.039995, -0.204955, -0.209283, -0.304448
6.059995, -0.276596, -0.265921, -0.347414
6.079995, -0.353140, -0.325998, -0.396462
6.099995, -0.408757, -0.369364, -0.438096
6.119995, -0.449149, -0.398215, -0.443001
6.139995, -0.494911, -0.440249, -0.462309
6.159995, -0.521366, -0.464884, -0.460978
6.179995, -0.532662, -0.480131, -0.437564
6.199995, -0.533084, -0.485679, -0.406005
6.219995, -0.525361, -0.471253, -0.361418
6.239995, -0.536169, -0.464174, -0.306867
6.259995, -0.509870, -0.456828, -0.236736
6.279995, -0.455385, -0.454231, -0.146920
6.299995, -0.419299, -0.469123, -0.071307
6.319995, -0.485302, -0.523851, -0.100269
6.339995, -0.509958, -0.505475, -0.098561
6.359995, -0.426245, -0.427200, -0.042123
6.379995, -0.323534, -0.342532, 0.017777
6.399995, -0.211724, -0.263013, 0.069754
6.419995, -0.098627, -0.197388, 0.079097
6.439995, -0.007390, -0.132938, 0.077277
6.459995, 0.059145, -0.078342, 0.079874
6.479995, 0.111122, -0.012584, 0.079674
6.499995, 0.177280, 0.063695, 0.105552
6.519995, 0.258486, 0.149738, 0.144035
6.539995, 0.318519, 0.220846, 0.157750
6.559995, 0.338803, 0.262769, 0.157550
6.579995, 0.365591, 0.310773, 0.177902
6.599995, 0.403186, 0.366146, 0.212124
6.619995, 0.436521, 0.413994, 0.245547
6.639995, 0.450236, 0.430706, 0.263058
6.659995, 0.436676, 0.425446, 0.264966
6.679995, 0.411886, 0.412197, 0.258885
6.699995, 0.380460, 0.385587, 0.246524
6.719995, 0.345750, 0.354960, 0.225351
6.739995, 0.300742, 0.314102, 0.193837
6.759995, 0.256710, 0.268917, 0.162832
6.779994, 0.217717, 0.226017, 0.140129
6.799994, 0.182074, 0.181519, 0.115894
6.819994, 0.138220, 0.133626, 0.084157
6.839994, 0.094987, 0.090371, 0.058768
6.859994, 0.056748, 0.052953, 0.038927
6.879994, 0.022970, 0.022437, 0.023281
6.899994, -0.012229, -0.006591, 0.006836
