time, x1__dd, x2__dd, y1__dd, y2__dd, phi1__d, phi2__d
4.459997, 12400.000000, 12396.000000, 11440.000000, 11410.000000, -139.000000, 31.000000
4.479997, 12358.000000, 12530.000000, 11438.000000, 11478.000000, -127.000000, 42.000000
4.499997, 12314.000000, 12496.000000, 11486.000000, 11474.000000, -135.000000, 36.000000
4.519997, 12308.000000, 12452.000000, 11446.000000, 11382.000000, -138.000000, 31.000000
4.539997, 12370.000000, 12386.000000, 11484.000000, 11404.000000, -127.000000, 38.000000
4.559997, 12320.000000, 12412.000000, 11480.000000, 11464.000000, -133.000000, 39.000000
4.579997, 12390.000000, 12464.000000, 11412.000000, 11376.000000, -137.000000, 29.000000
4.599997, 12380.000000, 12526.000000, 11430.000000, 11436.000000, -128.000000, 48.000000
4.619997, 12280.000000, 12454.000000, 11460.000000, 11436.000000, -124.000000, 27.000000
4.639997, 12326.000000, 12462.000000, 11426.000000, 11490.000000, -121.000000, 39.000000
4.659997, 12392.000000, 12332.000000, 11366.000000, 11426.000000, -141.000000, 39.000000
4.679996, 12478.000000, 12486.000000, 11492.000000, 11412.000000, -136.000000, 32.000000
4.699996, 12312.000000, 12508.000000, 11448.000000, 11422.000000, -131.000000, 46.000000
4.719996, 12370.000000, 12372.000000, 11412.000000, 11474.000000, -139.000000, 35.000000
4.739996, 12388.000000, 12418.000000, 11416.000000, 11420.000000, -126.000000, 36.000000
4.759996, 12348.000000, 12440.000000, 11514.000000, 11434.000000, -134.000000, 47.000000
4.779996, 12330.000000, 12518.000000, 11440.000000, 11522.000000, -131.000000, 31.000000
4.799996, 12386.000000, 12560.000000, 11414.000000, 11396.000000, -137.000000, 30.000000
4.819996, 12370.000000, 12460.000000, 11476.000000, 11388.000000, -128.000000, 50.000000
4.839996, 12328.000000, 12450.000000, 11436.000000, 11420.000000, -139.000000, 29.000000
4.859996, 12398.000000, 12432.000000, 11470.000000, 11476.000000, -135.000000, 24.000000
4.879996, 12314.000000, 12518.000000, 11484.000000, 11418.000000, -134.000000, 40.000000
4.899996, 12302.000000, 12488.000000, 11448.000000, 11426.000000, -131.000000, 42.000000
4.919996, 12386.000000, 12362.000000, 11446.000000, 11428.000000, -120.000000, 39.000000
4.939996, 12328.000000, 12390.000000, 11378.000000, 11524.000000, -135.000000, 50.000000
4.959996, 12340.000000, 12368.000000, 11428.000000, 11444.000000, -121.000000, 30.000000
4.979996, 12350.000000, 12514.000000, 11424.000000, 11476.000000, -118.000000, 23.000000
4.999996, 12402.000000, 12422.000000, 11456.000000, 11484.000000, -137.000000, 40.000000
5.019996, 12420.000000, 12414.000000, 11446.000000, 11426.000000, -137.000000, 26.000000
5.039996, 12308.000000, 12458.000000, 11416.000000, 11398.000000, -133.000000, 39.000000
5.059996, 12412.000000, 12362.000000, 11422.000000, 11432.000000, -145.000000, 35.000000
5.079996, 12374.000000, 12490.000000, 11392.000000, 11462.000000, -133.000000, 42.000000
5.099996, 12416.000000, 12438.000000, 11466.000000, 11450.000000, -135.000000, 43.000000
5.119996, 12322.000000, 12388.000000, 11462.000000, 11420.000000, -117.000000, 31.000000
5.139996, 12314.000000, 12416.000000, 11534.000000, 11402.000000, -144.000000, 43.000000
5.159996, 12412.000000, 12398.000000, 11474.000000, 11468.000000, -135.000000, 41.000000
5.179996, 12384.000000, 12472.000000, 11446.000000, 11426.000000, -146.000000, 49.000000
5.199996, 12292.000000, 12374.000000, 11536.000000, 11434.000000, -130.000000, 37.000000
5.219996, 12290.000000, 12428.000000, 11478.000000, 11408.000000, -150.000000, 30.000000
5.239996, 12332.000000, 12370.000000, 11442.000000, 11450.000000, -125.000000, 33.000000
5.259996, 12376.000000, 12354.000000, 11560.000000, 11476.000000, -130.000000, 37.000000
5.279996, 12464.000000, 12474.000000, 11500.000000, 11398.000000, -142.000000, 46.000000
5.299996, 12362.000000, 12400.000000, 11438.000000, 11436.000000, -129.000000, 42.000000
5.319996, 12386.000000, 12398.000000, 11502.000000, 11418.000000, -128.000000, 28.000000
5.339996, 12370.000000, 12444.000000, 11508.000000, 11458.000000, -136.000000, 31.000000
5.359996, 12424.000000, 12430.000000, 11450.000000, 11402.000000, -135.000000, 33.000000
5.379996, 12428.000000, 12478.000000, 11414.000000, 11536.000000, -141.000000, 26.000000
5.399996, 12344.000000, 12392.000000, 11472.000000, 11366.000000, -137.000000, 40.000000
5.419996, 12390.000000, 12452.000000, 11410.000000, 11404.000000, -139.000000, 32.000000
5.439996, 12388.000000, 12444.000000, 11456.000000, 11410.000000, -145.000000, 36.000000
5.459996, 12436.000000, 12424.000000, 11462.000000, 11470.000000, -140.000000, 31.000000
5.479996, 12402.000000, 12532.000000, 11496.000000, 11440.000000, -132.000000, 23.000000
5.499996, 12430.000000, 12406.000000, 11530.000000, 11510.000000, -130.000000, 28.000000
5.519996, 12360.000000, 12324.000000, 11486.000000, 11434.000000, -116.000000, 45.000000
5.539996, 12416.000000, 12328.000000, 11450.000000, 11448.000000, -127.000000, 37.000000
5.559996, 12372.000000, 12478.000000, 11428.000000, 11426.000000, -129.000000, 33.000000
5.579996, 12340.000000, 12534.000000, 11484.000000, 11494.000000, -134.000000, 24.000000
5.599996, 12366.000000, 12340.000000, 11396.000000, 11380.000000, -126.000000, 33.000000
5.619996, 12392.000000, 12364.000000, 11428.000000, 11502.000000, -145.000000, 30.000000
5.639996, 12360.000000, 12414.000000, 11434.000000, 11466.000000, -122.000000, 47.000000
5.659996, 12364.000000, 12510.000000, 11458.000000, 11436.000000, -135.000000, 33.000000
5.679996, 12278.000000, 12514.000000, 11454.000000, 11468.000000, -119.000000, 38.000000
5.699996, 12386.000000, 12472.000000, 11458.000000, 11426.000000, -132.000000, 42.000000
5.719995, 12326.000000, 12442.000000, 11384.000000, 11408.000000, -145.000000, 46.000000
5.739995, 12334.000000, 12402.000000, 11488.000000, 11494.000000, -131.000000, 30.000000
5.759995, 12330.000000, 12556.000000, 11478.000000, 11420.000000, -111.000000, 30.000000
5.779995, 12302.000000, 12462.000000, 11502.000000, 11410.000000, -136.000000, 29.000000
5.799995, 12382.000000, 12442.000000, 11446.000000, 11388.000000, -138.000000, 41.000000
5.819995, 12360.000000, 12450.000000, 11480.000000, 11444.000000, -134.000000, 49.000000
5.839995, 12356.000000, 12420.000000, 11500.000000, 11366.000000, -129.000000, 27.000000
5.859995, 12372.000000, 12600.000000, 11524.000000, 11400.000000, -138.000000, 34.000000
5.879995, 12402.000000, 12588.000000, 11460.000000, 11516.000000, -134.000000, 41.000000
5.899995, 12300.000000, 12428.000000, 11522.000000, 11424.000000, -128.000000, 30.000000
5.919995, 12320.000000, 12464.000000, 11456.000000, 11422.000000, -141.000000, 48.000000
5.939995, 12428.000000, 12390.000000, 11454.000000, 11450.000000, -135.000000, 50.000000
5.959995, 12354.000000, 12492.000000, 11480.000000, 11422.000000, -141.000000, 35.000000
5.979995, 12320.000000, 12388.000000, 11402.000000, 11408.000000, -140.000000, 25.000000
5.999995, 12446.000000, 12494.000000, 11546.000000, 11396.000000, -140.000000, 37.000000
6.019995, 12330.000000, 12508.000000, 11410.000000, 11394.000000, -131.000000, 33.000000
6.039995, 12342.000000, 12482.000000, 11420.000000, 11470.000000, -131.000000, 34.000000
6.059995, 12402.000000, 12442.000000, 11374.000000, 11462.000000, -138.000000, 44.000000
6.079995, 12422.000000, 12452.000000, 11442.000000, 11404.000000, -124.000000, 39.000000
6.099995, 12364.000000, 12350.000000, 11462.000000, 11430.000000, -141.000000, 42.000000
6.119995, 12356.000000, 12470.000000, 11410.000000, 11462.000000, -146.000000, 44.000000
6.139995, 12348.000000, 12430.000000, 11394.000000, 11410.000000, -141.000000, 43.000000
6.159995, 12362.000000, 12526.000000, 11384.000000, 11474.000000, -130.000000, 28.000000
