t, x3_estimate, x3_phiobs, x3_fullobs
5.639996, -0.430928, -0.272959, -0.048790
5.659996, -0.430507, -0.304966, -0.071606
5.679996, -0.425047, -0.330212, -0.092976
5.699996, -0.419898, -0.349063, -0.112676
5.719995, 0.094173, -0.362930, -0.130833
5.739995, -0.410954, -0.268659, -0.117258
5.759995, -0.908181, -0.297271, -0.134561
5.779995, -0.374335, -0.421733, -0.180355
5.799995, -0.861908, -0.411093, -0.191498
5.819995, 0.174091, -0.502429, -0.230919
5.839995, -0.844308, -0.362770, -0.206226
5.859995, -0.335830, -0.460539, -0.243672
5.879995, 0.169297, -0.434052, -0.248570
5.899995, 0.166701, -0.309656, -0.223127
5.919995, 23.642338, 0.168580, 0.168963
5.939995, -13.744969, 11.519936, 8.111221
5.959995, 24.503626, 10.756981, 11.226767
5.979995, 15.268520, 19.562429, 18.007044
5.999995, 15.793489, 18.252758, 17.416351
6.019995, 14.272247, 18.648699, 18.220797
6.039995, 15.316192, 17.956778, 18.190737
6.059995, 12.780491, 17.686159, 18.289257
6.079995, 12.793562, 16.891699, 18.170250
6.099995, 15.355896, 16.679861, 18.475157
6.119995, 14.852588, 16.973907, 18.851328
6.139995, 15.882084, 16.781172, 18.851469
6.159995, 14.866348, 16.945843, 19.019678
6.179995, 15.381440, 16.711206, 18.959791
6.199995, 13.851555, 16.760317, 19.064058
6.219995, 14.364350, 16.324530, 18.909365
6.239995, 15.386168, 16.205315, 18.916239
6.259995, 14.366836, 16.090986, 18.754543
6.279995, 15.901836, 15.515039, 18.265570
6.299995, 14.884280, 15.371436, 17.897026
6.319995, 15.912601, 14.643763, 17.085129
6.339995, 13.875169, 14.301136, 16.408422
6.359995, 11.837615, 13.342957, 15.382798
6.379995, 12.864936, 12.328142, 14.461452
6.399995, 10.315797, 11.794122, 13.718577
6.419995, 10.832198, 10.600665, 12.621738
6.439995, 9.816463, 10.014664, 11.878105
6.459995, 7.778787, 9.140399, 10.918279
6.479995, 7.269731, 8.178915, 10.045456
6.499995, 7.270619, 7.526641, 9.410706
6.519995, 7.273437, 6.949413, 8.755060
6.539995, 4.209683, 6.429456, 8.077247
6.559995, 4.721601, 5.388695, 7.257764
6.579995, 5.233109, 4.987987, 6.839268
6.599995, 2.168379, 4.604445, 6.306532
6.619995, 1.656150, 3.627828, 5.579276
6.639995, 2.674372, 3.088897, 5.206979
6.659995, 2.673972, 2.767220, 4.815556
6.679995, 2.165716, 2.269253, 4.205449
6.699995, 2.678855, 1.735334, 3.567762
6.719995, 2.173661, 1.466804, 3.049761
6.739995, 3.201426, 1.062666, 2.445819
6.759995, 2.693613, 1.156649, 2.144293
6.779994, 0.140113, 1.146032, 1.849832
6.799994, -1.395709, 0.832849, 1.639543
6.819994, -0.892690, 0.663159, 1.744023
6.839994, -0.389027, 0.782570, 2.023092
6.859994, -0.907715, 0.817431, 2.152003
6.879994, -0.402255, 0.624926, 2.128175
6.899994, -0.403764, 0.473640, 2.033851
6.919994, -0.402898, 0.128817, 1.720734
6.939994, 0.619751, -0.214749, 1.356721
6.959994, 0.110663, -0.346871, 1.006983
6.979994, 0.112416, -0.764182, 0.440150
6.999994, -0.395796, -1.072943, -0.069816
7.019994, -0.389427, -1.537301, -0.694071
7.039994, 0.126708, -1.898426, -1.273651
7.059994, 0.639792, -2.030924, -1.738613
7.079994, -5.486207, -2.044198, -2.157712
7.099994, -2.418836, -3.379633, -2.986295
7.119994, -5.998037, -2.973263, -2.743581
7.139994, -4.466853, -3.863637, -3.208747
7.159994, -3.446312, -3.734181, -3.031845
7.179994, -2.423718, -3.721576, -3.104143
7.199994, -2.934371, -3.514316, -3.123267
7.219994, -2.933262, -3.490965, -3.208147
7.239994, -2.937323, -3.333009, -3.148549
7.259994, -1.916061, -3.125590, -3.009913
7.279994, -3.445668, -2.804015, -2.871106
7.299994, -3.955945, -2.898911, -2.868708
7.319994, -3.450018, -2.691967, -2.510100
7.339994, -2.434349, -2.285269, -2.004459
7.359994, -1.926181, -1.808690, -1.523453
7.379994, -2.434238, -1.453194, -1.168396
7.399994, -1.408337, -1.256775, -0.846982
7.419994, -0.899836, -0.610029, -0.203380
7.439994, -0.906605, 0.151677, 0.575454
7.459994, -0.399503, 0.852673, 1.404145
7.479994, 2.150513, 1.547502, 2.246991
7.499994, 1.636486, 2.691823, 3.260810
7.519994, 1.632425, 3.283570, 3.970902
7.539994, 2.647584, 3.993383, 4.878344
7.559994, 8.773661, 4.789478, 5.815600
7.579994, 8.262542, 6.544698, 6.929213
7.599994, 6.223856, 7.150639, 7.262035
7.619994, 5.710917, 7.514804, 7.753945
7.639994, 9.282849, 8.082521, 8.568976
7.659994, 8.767469, 9.301641, 9.583920
7.679994, 10.298686, 9.750530, 10.093060
