t, x2_estimate, x2_phiobs
15.700170, -0.005215, -0.008652
15.720170, -0.004860, -0.009483
15.740170, -0.005948, -0.010032
15.760171, -0.006103, -0.009169
15.780171, -0.005215, -0.010210
15.800172, -0.005748, -0.010747
15.820172, -0.005238, -0.013065
15.840173, -0.005615, -0.013086
15.860173, -0.005881, -0.013227
15.880174, -0.005304, -0.013428
15.900174, -0.005127, -0.013380
15.920175, -0.006014, -0.013267
15.940175, -0.005371, -0.011788
15.960176, -0.005526, -0.010341
15.980176, -0.005726, -0.010901
16.000175, -0.005460, -0.011433
16.020176, -0.005371, -0.011774
16.040176, -0.004949, -0.010326
16.060177, -0.005748, -0.010679
16.080177, -0.005349, -0.011252
16.100178, -0.005659, -0.011580
16.120178, -0.005282, -0.010265
16.140179, -0.005460, -0.010744
16.160179, -0.005082, -0.009507
16.180180, -0.005260, -0.010051
16.200180, -0.005260, -0.007174
16.220181, -0.005171, -0.008204
16.240181, -0.005393, -0.009024
16.260181, -0.005082, -0.008086
16.280182, -0.004905, -0.008903
16.300182, -0.005282, -0.009512
16.320183, -0.005282, -0.010147
16.340183, -0.005149, -0.010668
16.360184, -0.005149, -0.011046
16.380184, -0.005171, -0.009659
16.400185, -0.005282, -0.008527
16.420185, -0.005437, -0.007638
