t, adc1
4.259997, 404.000000
4.279997, 405.000000
4.299997, 403.000000
4.319997, 404.000000
4.339997, 403.000000
4.359997, 404.000000
4.379997, 404.000000
4.399997, 403.000000
4.419997, 403.000000
4.439997, 404.000000
4.459997, 404.000000
4.479997, 403.000000
4.499997, 403.000000
4.519997, 404.000000
4.539997, 403.000000
4.559997, 403.000000
4.579997, 403.000000
4.599997, 403.000000
4.619997, 403.000000
4.639997, 403.000000
4.659997, 404.000000
4.679996, 404.000000
4.699996, 404.000000
4.719996, 404.000000
4.739996, 404.000000
4.759996, 404.000000
4.779996, 404.000000
4.799996, 404.000000
4.819996, 404.000000
4.839996, 404.000000
4.859996, 403.000000
4.879996, 404.000000
4.899996, 403.000000
4.919996, 403.000000
4.939996, 403.000000
4.959996, 404.000000
4.979996, 404.000000
4.999996, 404.000000
5.019996, 403.000000
5.039996, 404.000000
5.059996, 404.000000
5.079996, 403.000000
5.099996, 404.000000
5.119996, 404.000000
5.139996, 403.000000
5.159996, 404.000000
5.179996, 403.000000
5.199996, 403.000000
5.219996, 403.000000
5.239996, 403.000000
5.259996, 403.000000
5.279996, 403.000000
5.299996, 404.000000
5.319996, 403.000000
5.339996, 404.000000
5.359996, 403.000000
5.379996, 404.000000
5.399996, 404.000000
5.419996, 404.000000
5.439996, 404.000000
5.459996, 404.000000
5.479996, 403.000000
5.499996, 404.000000
5.519996, 403.000000
5.539996, 403.000000
5.559996, 403.000000
5.579996, 404.000000
5.599996, 403.000000
5.619996, 404.000000
5.639996, 404.000000
5.659996, 403.000000
5.679996, 404.000000
5.699996, 403.000000
5.719995, 404.000000
5.739995, 403.000000
5.759995, 404.000000
5.779995, 403.000000
5.799995, 404.000000
5.819995, 404.000000
5.839995, 404.000000
5.859995, 403.000000
5.879995, 403.000000
5.899995, 404.000000
5.919995, 404.000000
5.939995, 403.000000
5.959995, 403.000000
5.979995, 403.000000
5.999995, 404.000000
6.019995, 404.000000
6.039995, 404.000000
6.059995, 403.000000
6.079995, 403.000000
6.099995, 403.000000
6.119995, 404.000000
6.139995, 404.000000
6.159995, 404.000000
6.179995, 403.000000
6.199995, 404.000000
6.219995, 403.000000
6.239995, 404.000000
6.259995, 403.000000
6.279995, 403.000000
6.299995, 404.000000
6.319995, 403.000000
