t, phi2, phi3
11.440072, -0.003221, 0.031255
11.460073, -0.003472, 0.035353
11.480073, -0.006830, 0.042159
11.500073, -0.008793, 0.046233
11.520074, -0.010999, 0.048347
11.540074, -0.012797, 0.047753
11.560075, -0.013164, 0.043951
11.580075, -0.014139, 0.041404
11.600076, -0.015091, 0.038232
11.620076, -0.015462, 0.034463
11.640077, -0.016276, 0.030560
11.660077, -0.014821, 0.022645
11.680078, -0.014105, 0.017359
11.700078, -0.013341, 0.012320
11.720078, -0.012683, 0.007511
11.740079, -0.011991, 0.002327
11.760079, -0.011477, -0.002765
11.780080, -0.011045, -0.007815
11.800080, -0.011060, -0.011481
11.820081, -0.010633, -0.015624
11.840081, -0.010247, -0.019124
11.860082, -0.010155, -0.021201
11.880082, -0.010205, -0.022806
11.900083, -0.010485, -0.023352
11.920083, -0.010985, -0.022719
11.940084, -0.011305, -0.021955
11.960084, -0.011350, -0.021666
11.980084, -0.011346, -0.021449
12.000085, -0.011686, -0.020054
12.020085, -0.011704, -0.019100
12.040086, -0.012400, -0.015919
12.060086, -0.012595, -0.013527
12.080087, -0.012082, -0.012172
12.100087, -0.011601, -0.010625
12.120088, -0.010716, -0.010221
12.140088, -0.009769, -0.009937
12.160089, -0.008894, -0.010136
12.180089, -0.008342, -0.010012
12.200089, -0.008238, -0.009456
12.220090, -0.008489, -0.008246
12.240090, -0.008446, -0.008147
12.260091, -0.008908, -0.006747
12.280091, -0.009460, -0.005130
12.300092, -0.009830, -0.003681
12.320092, -0.009972, -0.002502
12.340093, -0.010404, -0.000747
12.360093, -0.010694, 0.000732
12.380094, -0.010671, 0.001631
12.400094, -0.010886, 0.003228
12.420094, -0.010869, 0.004230
12.440095, -0.010810, 0.005016
12.460095, -0.010678, 0.005569
12.480096, -0.010545, 0.006092
12.500096, -0.010662, 0.007277
12.520097, -0.010538, 0.007553
12.540097, -0.010404, 0.007949
12.560098, -0.010324, 0.008603
12.580098, -0.010076, 0.008802
12.600099, -0.009959, 0.009185
12.620099, -0.009870, 0.009774
12.640100, -0.009928, 0.010808
12.660100, -0.009766, 0.011251
12.680100, -0.009531, 0.011557
12.700101, -0.009248, 0.011631
12.720101, -0.009059, 0.011505
12.740102, -0.008330, 0.010291
12.760102, -0.008372, 0.010218
12.780103, -0.008054, 0.008871
12.800103, -0.008142, 0.008551
12.820104, -0.007821, 0.007088
12.840104, -0.007581, 0.005657
12.860105, -0.007096, 0.002574
12.880105, -0.006737, -0.000358
12.900105, -0.006940, -0.002247
12.920106, -0.007110, -0.004459
12.940106, -0.007233, -0.006946
12.960107, -0.007640, -0.008773
12.980107, -0.007593, -0.011348
13.000108, -0.007655, -0.013265
13.020108, -0.007322, -0.016144
13.040109, -0.007206, -0.017899
13.060109, -0.006921, -0.019922
13.080110, -0.006639, -0.021738
13.100110, -0.005880, -0.024399
13.120111, -0.005100, -0.026601
13.140111, -0.004532, -0.028030
13.160111, -0.003841, -0.029640
13.180112, -0.003094, -0.031424
13.200112, -0.002545, -0.032819
13.220113, -0.002087, -0.033418
13.240113, -0.001603, -0.034041
13.260114, -0.001217, -0.033426
13.280114, -0.000598, -0.032615
13.300115, -0.000248, -0.030413
13.320115, -0.000326, -0.028108
13.340116, -0.000227, -0.025642
13.360116, 0.000316, -0.023215
13.380116, -0.000104, -0.019653
13.400117, -0.000734, -0.015992
13.420117, -0.001325, -0.012050
13.440118, -0.001483, -0.008179
13.460118, -0.001848, -0.003571
13.480119, -0.002144, 0.001145
13.500119, -0.002056, 0.005191
13.520120, -0.002501, 0.010212
13.540120, -0.002973, 0.014804
13.560121, -0.003402, 0.019017
13.580121, -0.003940, 0.022867
13.600121, -0.004133, 0.026171
13.620122, -0.004397, 0.029637
13.640122, -0.005236, 0.033729
13.660123, -0.006118, 0.037468
13.680123, -0.007054, 0.040421
13.700124, -0.007817, 0.042409
13.720124, -0.007732, 0.042425
13.740125, -0.007785, 0.043756
13.760125, -0.008087, 0.045420
13.780126, -0.008113, 0.045986
13.800126, -0.007567, 0.041761
13.820127, -0.008458, 0.040685
13.840127, -0.007987, 0.037763
13.860127, -0.006922, 0.034238
13.880128, -0.005041, 0.028455
13.900128, -0.004884, 0.023530
13.920129, -0.003600, 0.015266
13.940129, -0.003370, 0.009388
13.960130, -0.003911, 0.002927
13.980130, -0.004528, -0.004097
14.000131, -0.005419, -0.010999
14.020131, -0.006437, -0.020085
14.040132, -0.007908, -0.027800
14.060132, -0.008976, -0.035157
14.080132, -0.009779, -0.042068
14.100133, -0.010490, -0.047658
14.120133, -0.010475, -0.052624
14.140134, -0.011734, -0.053887
14.160134, -0.011561, -0.056644
14.180135, -0.010769, -0.058792
14.200135, -0.010211, -0.059119
14.220136, -0.009339, -0.058666
14.240136, -0.008962, -0.055138
14.260137, -0.008246, -0.052809
14.280137, -0.007322, -0.049227
14.300138, -0.005487, -0.046451
14.320138, -0.003680, -0.040706
14.340138, -0.002731, -0.032816
14.360139, -0.001969, -0.025530
14.380139, -0.001429, -0.019169
14.400140, -0.000445, -0.016068
14.420140, -0.001942, -0.007465
14.440141, -0.002678, 0.000573
14.460141, -0.002481, 0.006654
14.480142, -0.001837, 0.011256
14.500142, -0.003819, 0.018010
14.520143, -0.005263, 0.020640
14.540143, -0.008027, 0.022653
14.560143, -0.011742, 0.024979
14.580144, -0.015786, 0.026999
14.600144, -0.019799, 0.028299
14.620145, -0.022387, 0.027097
14.640145, -0.025082, 0.027797
14.660146, -0.026627, 0.027765
14.680146, -0.028144, 0.029271
14.700147, -0.028302, 0.029777
14.720147, -0.027674, 0.029674
14.740148, -0.027117, 0.030459
14.760148, -0.025854, 0.030251
14.780149, -0.024121, 0.028953
14.800149, -0.022658, 0.027964
14.820149, -0.020836, 0.026199
14.840150, -0.019277, 0.024602
14.860150, -0.018810, 0.025162
14.880151, -0.018356, 0.024078
14.900151, -0.017380, 0.021259
14.920152, -0.017149, 0.019373
14.940152, -0.017552, 0.018289
14.960153, -0.018672, 0.017110
14.980153, -0.018937, 0.013700
15.000154, -0.019038, 0.010716
15.020154, -0.019413, 0.007973
15.040154, -0.019339, 0.004664
15.060155, -0.019166, 0.000825
15.080155, -0.018845, -0.002162
15.100156, -0.018183, -0.005815
15.120156, -0.016993, -0.010411
15.140157, -0.016664, -0.014114
15.160157, -0.016327, -0.017983
15.180158, -0.016160, -0.022115
15.200158, -0.016280, -0.024838
15.220159, -0.015794, -0.028970
15.240159, -0.015568, -0.032647
15.260159, -0.015415, -0.035405
15.280160, -0.015565, -0.037289
15.300160, -0.015562, -0.038894
15.320161, -0.014860, -0.040892
15.340161, -0.014653, -0.041443
15.360162, -0.013738, -0.043244
15.380162, -0.012678, -0.044524
15.400163, -0.012086, -0.044094
15.420163, -0.011098, -0.044472
15.440164, -0.010483, -0.043041
15.460164, -0.010205, -0.040321
15.480165, -0.010408, -0.036108
15.500165, -0.010290, -0.032772
15.520165, -0.010031, -0.029525
15.540166, -0.009760, -0.025508
15.560166, -0.009593, -0.020485
15.580167, -0.010097, -0.014698
15.600167, -0.010069, -0.009180
15.620168, -0.009398, -0.005061
15.640168, -0.009155, -0.000834
15.660169, -0.008977, 0.002831
15.680169, -0.009217, 0.006921
15.700170, -0.010557, 0.010746
15.720170, -0.012062, 0.013776
15.740170, -0.013154, 0.014785
15.760171, -0.014123, 0.015354
