t, phi2, phi3
12.820104, -0.012481, 0.042329
12.840104, -0.013943, 0.044318
12.860105, -0.014700, 0.044547
12.880105, -0.015271, 0.044374
12.900105, -0.015250, 0.043002
12.920106, -0.015624, 0.042485
12.940106, -0.015149, 0.040509
12.960107, -0.014865, 0.037839
12.980107, -0.014922, 0.034496
13.000108, -0.014634, 0.030364
13.020108, -0.015041, 0.025889
13.040109, -0.015313, 0.021068
13.060109, -0.015774, 0.017234
13.080110, -0.015343, 0.011875
13.100110, -0.014369, 0.005943
13.120111, -0.013285, 0.000351
13.140111, -0.012503, -0.004659
13.160111, -0.011830, -0.009676
13.180112, -0.011328, -0.014737
13.200112, -0.011182, -0.019153
13.220113, -0.010635, -0.023993
13.240113, -0.010524, -0.027298
13.260114, -0.009681, -0.031854
13.280114, -0.008615, -0.036085
13.300115, -0.008053, -0.039071
13.320115, -0.007890, -0.040940
13.340116, -0.006802, -0.044714
13.360116, -0.006618, -0.045658
13.380116, -0.006321, -0.046891
13.400117, -0.005968, -0.047428
13.420117, -0.005222, -0.047719
13.440118, -0.005768, -0.044533
13.460118, -0.005317, -0.041941
13.480119, -0.004657, -0.038392
13.500119, -0.003625, -0.035457
13.520120, -0.003182, -0.029097
13.540120, -0.002251, -0.024248
13.560121, -0.001385, -0.019900
13.580121, -0.001922, -0.010958
13.600121, -0.001432, -0.003727
13.620122, -0.002323, 0.006059
13.640122, -0.002429, 0.013576
13.660123, -0.002911, 0.020283
13.680123, -0.004490, 0.026802
13.700124, -0.006871, 0.032440
13.720124, -0.010318, 0.036878
13.740125, -0.013353, 0.038131
13.760125, -0.016003, 0.039273
13.780126, -0.019295, 0.041089
13.800126, -0.020698, 0.040206
13.820127, -0.019907, 0.036310
13.840127, -0.019546, 0.035625
13.860127, -0.018576, 0.033706
13.880128, -0.017485, 0.030402
13.900128, -0.016926, 0.027515
13.920129, -0.016616, 0.025335
13.940129, -0.016257, 0.022697
13.960130, -0.016092, 0.020761
13.980130, -0.014516, 0.015998
14.000131, -0.015350, 0.013200
14.020131, -0.015699, 0.008540
14.040132, -0.015523, 0.001931
14.060132, -0.015673, -0.002561
14.080132, -0.015619, -0.007699
14.100133, -0.016027, -0.011645
14.120133, -0.016323, -0.015887
14.140134, -0.016237, -0.020643
14.160134, -0.015932, -0.025055
14.180135, -0.015890, -0.028202
14.200135, -0.015191, -0.032502
14.220136, -0.014871, -0.035470
14.240136, -0.014553, -0.037943
14.260137, -0.013857, -0.040546
14.280137, -0.013499, -0.041808
14.300138, -0.013053, -0.043204
14.320138, -0.012292, -0.045172
14.340138, -0.011714, -0.046028
14.360139, -0.011677, -0.045137
14.380139, -0.011518, -0.043458
14.400140, -0.010980, -0.042641
14.420140, -0.010703, -0.041605
14.440141, -0.009636, -0.040929
14.460141, -0.009062, -0.038185
14.480142, -0.008711, -0.034162
14.500142, -0.008026, -0.030893
14.520143, -0.007123, -0.027545
14.540143, -0.006898, -0.022812
14.560143, -0.007211, -0.017096
14.580144, -0.006863, -0.012197
14.600144, -0.006497, -0.006505
14.620145, -0.006679, -0.000206
14.640145, -0.007544, 0.006447
14.660146, -0.008330, 0.011512
14.680146, -0.008945, 0.016014
14.700147, -0.010368, 0.021798
14.720147, -0.010953, 0.025467
14.740148, -0.012329, 0.029871
14.760148, -0.013510, 0.033059
14.780149, -0.014923, 0.035510
14.800149, -0.016602, 0.036364
14.820149, -0.018327, 0.037836
14.840150, -0.018812, 0.037981
14.860150, -0.019156, 0.038307
14.880151, -0.018682, 0.037886
14.900151, -0.018673, 0.035714
14.920152, -0.017777, 0.031611
14.940152, -0.016928, 0.026091
14.960153, -0.016283, 0.022007
14.980153, -0.015431, 0.017983
15.000154, -0.013689, 0.011527
15.020154, -0.012652, 0.005758
15.040154, -0.012273, 0.000199
15.060155, -0.011652, -0.006672
15.080155, -0.012318, -0.011800
15.100156, -0.012582, -0.018410
15.120156, -0.012956, -0.025036
15.140157, -0.013930, -0.029875
15.160157, -0.014554, -0.034891
15.180158, -0.015343, -0.038310
15.200158, -0.015269, -0.042341
15.220159, -0.015801, -0.044304
15.240159, -0.015776, -0.046994
15.260159, -0.015371, -0.049194
15.280160, -0.015018, -0.049600
15.300160, -0.014122, -0.049678
15.320161, -0.013306, -0.048943
15.340161, -0.012691, -0.047075
15.360162, -0.012112, -0.042980
15.380162, -0.011201, -0.038765
15.400163, -0.010033, -0.034688
15.420163, -0.009040, -0.029045
15.440164, -0.008051, -0.023413
15.460164, -0.007206, -0.017683
15.480165, -0.006858, -0.011434
15.500165, -0.007097, -0.004341
15.520165, -0.007110, 0.000688
