t, uk1, uk2, uk3)
3.979997, -0.052310, -0.004061, 0.038417
3.999997, -0.016423, -0.027076, 0.048271
4.019997, 0.046428, -0.067224, 0.045341
4.039997, 0.067667, -0.074037, 0.017910
4.059997, 0.046650, -0.067712, -0.015868
4.079997, 0.047716, -0.061254, -0.017910
4.099997, 0.058413, -0.070020, -0.030582
4.119997, 0.101268, -0.056593, -0.006569
4.139997, 0.167604, -0.046273, 0.032602
4.159997, 0.156197, -0.086199, -0.026632
4.179997, 0.129343, -0.113275, -0.059611
4.199997, 0.124838, -0.118956, -0.054462
4.219997, 0.142792, -0.100536, -0.040015
4.239997, 0.152224, -0.081716, -0.026499
4.259997, 0.150515, -0.050556, -0.009854
4.279997, 0.149117, -0.005238, 0.018398
4.299997, 0.153356, 0.051755, 0.049802
4.319997, 0.159393, 0.113985, 0.076611
4.339997, 0.165940, 0.159393, 0.098583
4.359997, 0.168336, 0.174129, 0.109679
4.379997, 0.175594, 0.184138, 0.116914
4.399997, 0.180010, 0.188377, 0.113408
4.419997, 0.165962, 0.167604, 0.093900
4.439997, 0.132583, 0.134048, 0.065071
4.459997, 0.121642, 0.119378, 0.044697
4.479997, 0.115583, 0.102999, 0.027586
4.499997, 0.111455, 0.086865, 0.008456
4.519997, 0.105485, 0.084845, -0.012406
4.539997, 0.099537, 0.088973, -0.026565
4.559997, 0.087752, 0.086665, -0.041457
4.579997, 0.063251, 0.069510, -0.072661
4.599997, 0.034222, 0.048182, -0.103354
4.619997, 0.006148, 0.028319, -0.131740
4.639997, -0.017732, 0.009299, -0.159148
4.659997, -0.043721, -0.015846, -0.184870
4.679996, -0.078631, -0.048271, -0.214743
4.699996, -0.116071, -0.088219, -0.248632
4.719996, -0.144834, -0.118668, -0.275752
4.739996, -0.170068, -0.146077, -0.299521
4.759996, -0.195035, -0.168958, -0.319029
4.779996, -0.210814, -0.179411, -0.316410
4.799996, -0.224730, -0.190574, -0.303117
4.819996, -0.231876, -0.195901, -0.285761
4.839996, -0.235516, -0.197920, -0.262303
4.859996, -0.246124, -0.208262, -0.240554
4.879996, -0.258286, -0.217606, -0.219980
4.899996, -0.281589, -0.234273, -0.196633
4.919996, -0.292464, -0.240798, -0.159126
4.939996, -0.277705, -0.222621, -0.102222
